table_ref, table_name, universe
P0010, P1. TOTAL POPULATION, Universe: Total population
P0020, P2. URBAN AND RURAL (Urban/Rural Update only), Universe: Total population
P0030, P3. RACE, Universe: Total population
P0040, P4. HISPANIC OR LATINO ORIGIN, Universe: Total population
P0050, P5. HISPANIC OR LATINO ORIGIN BY RACE, Universe: Total population
P0060, P6. RACE (TOTAL RACES TALLIED), Universe: Total races tallied
P0070, P7. HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED), Universe: Total races tallied
P0080, P8. RACE, Universe: Total population
P0090, P9. HISPANIC OR LATINO AND NOT HISPANIC OR LATINO BY RACE, Universe: Total population
P0100, P10. RACE FOR THE POPULATION 18 YEARS AND OVER, Universe: Population 18 years and over
P0110, P11. HISPANIC OR LATINO AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER, Universe: Population 18 years and over
P0120, P12. SEX BY AGE, Universe: Total population
P0130, P13. MEDIAN AGE BY SEX, Universe: Total population
P0140, P14. SEX BY AGE FOR THE POPULATION UNDER 20 YEARS, Universe: Population under 20 years
P0150, P15. HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER, Universe: Households
P0160, P16. POPULATION IN HOUSEHOLDS BY AGE, Universe: Population in households
P0170, P17. AVERAGE HOUSEHOLD SIZE BY AGE, Universe: Households Average household size
P0180, P18. HOUSEHOLD TYPE, Universe: Households
P0190, P19. HOUSEHOLD SIZE BY HOUSEHOLD TYPE BY PRESENCE OF OWN CHILDREN, Universe: Households
P0200, P20. HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE BY AGE OF PEOPLE UNDER 18 YEARS, Universe: Households
P0210, P21. HOUSEHOLDS BY AGE OF HOUSEHOLDER BY HOUSEHOLD TYPE BY PRESENCE OF RELATED CHILDREN, Universe: Households
P022, P22. HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER, Universe: Households
P0230, P23. HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE, Universe: Households
P0240, P24. HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER; HOUSEHOLD SIZE; AND HOUSEHOLD TYPE, Universe: Households
P0250, P25. HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER; HOUSEHOLD SIZE; AND HOUSEHOLD TYPE, Universe: Households
P0260, P26. HOUSEHOLDS BY PRESENCE OF PEOPLE 75 YEARS AND OVER; HOUSEHOLD SIZE; AND HOUSEHOLD TYPE, Universe: Households
P0270, P27. HOUSEHOLDS BY PRESENCE OF NONRELATIVES, Universe: Households
P0280, P28. HOUSEHOLD TYPE BY HOUSEHOLD SIZE, Universe: Households
P0290, P29. HOUSEHOLD TYPE BY RELATIONSHIP, Universe: Total population
P0300, P30. HOUSEHOLD TYPE FOR THE POPULATION IN HOUSEHOLDS, Universe: Population in households
P0310, P31. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS, Universe: Population under 18 years
P0320, P32. HOUSEHOLD TYPE BY RELATIONSHIP BY AGE FOR THE POPULATION UNDER 18 YEARS, Universe: Population under 18 years
P0330, P33. HOUSEHOLD TYPE FOR THE POPULATION UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS; SPOUSES; AND UNMARRIED PARTNERS), Universe: Population under 18 years in households
P0340, P34. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER, Universe: Population 65 years and over
P0350, P35. FAMILIES, Universe: Families
P0360, P36. POPULATION IN FAMILIES BY AGE, Universe: Population in families
P0370, P37. AVERAGE FAMILY SIZE BY AGE, Universe: Families Average family size
P0380, P38. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN, Universe: Families
P0390, P39. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN, Universe: Families
P0400, P40. FAMILY TYPE AND AGE FOR OWN CHILDREN UNDER 18 YEARS, Universe: Own children under 18 years
P0410, P41. AGE OF GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER, Universe: Grandchildren under 18 years living with a grandparent householder
P0420, P42. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE, Universe: Population in group quarters
P0430, P43. GROUP QUARTERS POPULATION BY SEX BY AGE BY GROUP QUARTERS TYPE, Universe: Population in group quarters
P0440, P44. POPULATION SUBSTITUTED, Universe: Total population
P0450, P45. ALLOCATION OF POPULATION ITEMS, Universe: Population not substituted
P0460, P46. ALLOCATION OF RACE, Universe: Population not substituted
P0470, P47. ALLOCATION OF HISPANIC OR LATINO ORIGIN, Universe: Population not substituted
P0480, P48. ALLOCATION OF SEX, Universe: Population not substituted
P0490, P49. ALLOCATION OF AGE, Universe: Population not substituted
P0500, P50. ALLOCATION OF RELATIONSHIP, Universe: Population in households not substituted
P0510, P51. ALLOCATION OF POPULATION ITEMS FOR THE POPULATION IN GROUP QUARTERS, Universe: Population in group quarters
P012A, P12A. SEX BY AGE (WHITE ALONE), Universe: People who are White alone
P012B, P12B. SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE), Universe: People who are Black or African American alone
P012C, P12C. SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People who are American Indian and Alaska Native alone
P012D, P12D. SEX BY AGE (ASIAN ALONE), Universe: People who are Asian alone
P012E, P12E. SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People who are Native Hawaiian and Other Pacific Islander alone
P012F, P12F. SEX BY AGE (SOME OTHER RACE ALONE), Universe: People who are Some Other Race alone
P012G, P12G. SEX BY AGE (TWO OR MORE RACES), Universe: People who are Two or More Races
P012H, P12H. SEX BY AGE (HISPANIC OR LATINO), Universe: People who are Hispanic or Latino
P012I, P12I. SEX BY AGE (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People who are White alone not Hispanic or Latino
P013A, P13A. MEDIAN AGE BY SEX (WHITE ALONE), Universe: People who are White alone Median age
P013B, P13B. MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE), Universe: People who are Black or African American alone Median age
P013C, P13C. MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People who are American Indian and Alaska Native alone Median age
P013D, P13D. MEDIAN AGE BY SEX (ASIAN ALONE), Universe: People who are Asian alone Median age
P013E, P13E. MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People who are Native Hawaiian and Other Pacific Islander alone Median ag
P013F, P13F. MEDIAN AGE BY SEX (SOME OTHER RACE ALONE), Universe: People who are Some Other Race alone Median age
P013G, P13G. MEDIAN AGE BY SEX (TWO OR MORE RACES), Universe: People who are Two or More Races Median age
P013H, P13H. MEDIAN AGE BY SEX (HISPANIC OR LATINO), Universe: People who are Hispanic or Latino Median age
P013I, P13I. MEDIAN AGE BY SEX (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People who are White alone not Hispanic or Latino Median age
P016A, P16A. POPULATION IN HOUSEHOLDS BY AGE (WHITE ALONE HOUSEHOLDER), Universe: Population in households with a householder who is White alone
P016B, P16B. POPULATION IN HOUSEHOLDS BY AGE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Population in households with a householder who is Black or African American alone
P016C, P16C. POPULATION IN HOUSEHOLDS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Population in households with a householder who is American Indian and Alaska Native alone
P016D, P16D. POPULATION IN HOUSEHOLDS BY AGE (ASIAN ALONE HOUSEHOLDER), Universe: Population in households with a householder who is Asian alone
P016E, P16E. POPULATION IN HOUSEHOLDS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone
P016F, P16F. POPULATION IN HOUSEHOLDS BY AGE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Population in households with a householder who is Some Other Race alone
P016G, P16G. POPULATION IN HOUSEHOLDS BY AGE (TWO OR MORE RACES HOUSEHOLDER), Universe: Population in households with a householder who is Two or More Races
P016H, P16H. POPULATION IN HOUSEHOLDS BY AGE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in households with a householder who is Hispanic or Latino
P016I, P16I. POPULATION IN HOUSEHOLDS BY AGE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in households with a householder who is White alone not Hispanic or Latino
P017A, P17A. AVERAGE HOUSEHOLD SIZE BY AGE (WHITE ALONE HOUSEHOLDER), Universe: Households with a householder who is White alone Average household size
P017B, P17B. AVERAGE HOUSEHOLD SIZE BY AGE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Black or African American alone Average household size
P017C, P17C. AVERAGE HOUSEHOLD SIZE BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Households with a householder who is American Indian and Alaska Native alone Average household size
P017D, P17D. AVERAGE HOUSEHOLD SIZE BY AGE (ASIAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Asian alone Average household size
P017E, P17E. AVERAGE HOUSEHOLD SIZE BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone Average household size
P017F, P17F. AVERAGE HOUSEHOLD SIZE BY AGE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Households with a householder who is Some Other Race alone Average household size
P017G, P17G. AVERAGE HOUSEHOLD SIZE BY AGE (TWO OR MORE RACES HOUSEHOLDER), Universe: Households with a householder who is Two or More Races Average household size
P017H, P17H. AVERAGE HOUSEHOLD SIZE BY AGE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is Hispanic or Latino Average household size
P017I, P17I. AVERAGE HOUSEHOLD SIZE BY AGE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is White alone not Hispanic or Latino Average household size
P018A, P18A. HOUSEHOLD TYPE (WHITE ALONE HOUSEHOLDER), Universe: Households with a householder who is White alone
P018B, P18B. HOUSEHOLD TYPE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Black or African American alone
P018C, P18C. HOUSEHOLD TYPE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Households with a householder who is American Indian and Alaska Native alone
P018D, P18D. HOUSEHOLD TYPE (ASIAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Asian alone
P018E, P18E. HOUSEHOLD TYPE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone
P018F, P18F. HOUSEHOLD TYPE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Households with a householder who is Some Other Race alone
P018G, P18G. HOUSEHOLD TYPE (TWO OR MORE RACES HOUSEHOLDER), Universe: Households with a householder who is Two or More Races
P018H, P18H. HOUSEHOLD TYPE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is Hispanic or Latino
P018I, P18I. HOUSEHOLD TYPE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is White alone not Hispanic or Latino
P028A, P28A. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (WHITE ALONE HOUSEHOLDER), Universe: Households with a householder who is White alone
P028B, P28B. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Black or African American alone
P028C, P28C. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Households with a householder who is American Indian and Alaska Native alone
P028D, P28D. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (ASIAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Asian alone
P028E, P28E. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone
P028F, P28F. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Households with a householder who is Some Other Race alone
P028G, P28G. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (TWO OR MORE RACES HOUSEHOLDER), Universe: Households with a householder who is Two or More Races
P028H, P28H. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is Hispanic or Latino
P028I, P28I. HOUSEHOLD TYPE BY HOUSEHOLD SIZE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is White alone not Hispanic or Latino
P029A, P29A. HOUSEHOLD TYPE BY RELATIONSHIP (WHITE ALONE), Universe: People who are White alone
P029B, P29B. HOUSEHOLD TYPE BY RELATIONSHIP (BLACK OR AFRICAN AMERICAN ALONE), Universe: People who are Black or African American alone
P029C, P29C. HOUSEHOLD TYPE BY RELATIONSHIP (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People who are American Indian and Alaska Native alone
P029D, P29D. HOUSEHOLD TYPE BY RELATIONSHIP (ASIAN ALONE), Universe: People who are Asian alone
P029E, P29E. HOUSEHOLD TYPE BY RELATIONSHIP (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People who are Native Hawaiian and Other Pacific Islander alone
P029F, P29F. HOUSEHOLD TYPE BY RELATIONSHIP (SOME OTHER RACE ALONE), Universe: People who are Some Other Race alone
P029G, P29G. HOUSEHOLD TYPE BY RELATIONSHIP (TWO OR MORE RACES), Universe: People who are Two or More Races
P029H, P29H. HOUSEHOLD TYPE BY RELATIONSHIP (HISPANIC OR LATINO), Universe: People who are Hispanic or Latino
P029I, P29I. HOUSEHOLD TYPE BY RELATIONSHIP (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People who are White alone not Hispanic or Latino
P031A, P31A. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (WHITE ALONE), Universe: People under 18 years who are White alone
P031B, P31B. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (BLACK OR AFRICAN AMERICAN ALONE), Universe: People under 18 years who are Black or African American alone
P031C, P31C. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People under 18 years who are American Indian and Alaska Native alone
P031D, P31D. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (ASIAN ALONE), Universe: People under 18 years who are Asian alone
P031E, P31E. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People under 18 years who are Native Hawaiian and Other Pacific Islander alone
P031F, P31F. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (SOME OTHER RACE ALONE), Universe: People under 18 years who are Some Other Race alone
P031G, P31G. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (TWO OR MORE RACES), Universe: People under 18 years who are Two or More Races
P031H, P31H. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (HISPANIC OR LATINO), Universe: People under 18 years who are Hispanic or Latino
P031I, P31I. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People under 18 years who are White alone not Hispanic or Latino
P034A, P34A. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (WHITE ALONE), Universe: People 65 years and over who are White alone
P034B, P34B. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE), Universe: People 65 years and over who are Black or African American alone
P034C, P34C. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People 65 years and over who are American Indian and Alaska Native alone
P034D, P34D. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (ASIAN ALONE), Universe: People 65 years and over who are Asian alone
P034E, P34E. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People 65 years and over who are Native Hawaiian and Other Pacific Islander alone
P034F, P34F. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (SOME OTHER RACE ALONE), Universe: People 65 years and over who are Some Other Race alone
P034G, P34G. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (TWO OR MORE RACES), Universe: People 65 years and over who are Two or More Races
P034H, P34H. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (HISPANIC OR LATINO), Universe: People 65 years and over who are Hispanic or Latino
P034I, P34I. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People 65 years and over who are White alone not Hispanic or Latino
P035A, P35A. FAMILIES (WHITE ALONE HOUSEHOLDER), Universe: Families with a householder who is White alone
P035B, P35B. FAMILIES (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Black or African American alone
P035C, P35C. FAMILIES (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Families with a householder who is American Indian and Alaska Native alone
P035D, P35D. FAMILIES (ASIAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Asian alone
P035E, P35E. FAMILIES (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone
P035F, P35F. FAMILIES (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Families with a householder who is Some Other Race alone
P035G, P35G. FAMILIES (TWO OR MORE RACES HOUSEHOLDER), Universe: Families with a householder who is Two or More Races
P035H, P35H. FAMILIES (HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is Hispanic or Latino
P035I, P35I. FAMILIES (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is White alone not Hispanic or Latino
P036A, P36A. POPULATION IN FAMILIES BY AGE (WHITE ALONE HOUSEHOLDER), Universe: Population in families with a householder who is White alone
P036B, P36B. POPULATION IN FAMILIES BY AGE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Population in families with a householder who is Black or African American alone
P036C, P36C. POPULATION IN FAMILIES BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Population in families with a householder who is American Indian and Alaska Native alone
P036D, P36D. POPULATION IN FAMILIES BY AGE (ASIAN ALONE HOUSEHOLDER), Universe: Population in families with a householder who is Asian alone
P036E, P36E. POPULATION IN FAMILIES BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Population in families with a householder who is Native Hawaiian and Other Pacific Islander alone
P036F, P36F. POPULATION IN FAMILIES BY AGE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Population in families with a householder who is Some Other Race alone
P036G, P36G. POPULATION IN FAMILIES BY AGE (TWO OR MORE RACES HOUSEHOLDER), Universe: Population in families with a householder who is Two or More Races
P036H, P36H. POPULATION IN FAMILIES BY AGE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in families with a householder who is Hispanic or Latino
P036I, P36I. POPULATION IN FAMILIES BY AGE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in families with a householder who is White alone not Hispanic or Latino
P037A, P37A. AVERAGE FAMILY SIZE BY AGE (WHITE ALONE HOUSEHOLDER), Universe: Families with a householder who is White alone Average family size
P037B, P37B. AVERAGE FAMILY SIZE BY AGE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Black or African American alone Average family size
P037C, P37C. AVERAGE FAMILY SIZE BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Families with a householder who is American Indian and Alaska Native alone Average family size
P037D, P37D. AVERAGE FAMILY SIZE BY AGE (ASIAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Asian alone Average family size
P037E, P37E. AVERAGE FAMILY SIZE BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone Average family size
P037F, P37F. AVERAGE FAMILY SIZE BY AGE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Families with a householder who is Some Other Race alone Average family size
P037G, P37G. AVERAGE FAMILY SIZE BY AGE (TWO OR MORE RACES HOUSEHOLDER), Universe: Families with a householder who is Two or More Races Average family size
P037H, P37H. AVERAGE FAMILY SIZE BY AGE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is Hispanic or Latino Average family size
P037I, P37I. AVERAGE FAMILY SIZE BY AGE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is White alone not Hispanic or Latino Average family size
P038A, P38A. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (WHITE ALONE HOUSEHOLDER), Universe: Families with a householder who is White alone
P038B, P38B. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Black or African American alone
P038C, P38C. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Families with a householder who is American Indian and Alaska Native alone
P038D, P38D. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (ASIAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Asian alone
P038E, P38E. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone
P038F, P38F. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Families with a householder who is Some Other Race alone
P038G, P38G. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (TWO OR MORE RACES HOUSEHOLDER), Universe: Families with a householder who is Two or More Races
P038H, P38H. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is Hispanic or Latino
P038I, P38I. FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is White alone not Hispanic or Latino
P039A, P39A. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (WHITE ALONE HOUSEHOLDER), Universe: Families with a householder who is White alone
P039B, P39B. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Black or African American alone
P039C, P39C. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Families with a householder who is American Indian and Alaska Native alone
P039D, P39D. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (ASIAN ALONE HOUSEHOLDER), Universe: Families with a householder who is Asian alone
P039E, P39E. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone
P039F, P39F. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Families with a householder who is Some Other Race alone
P039G, P39G. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (TWO OR MORE RACES HOUSEHOLDER), Universe: Families with a householder who is Two or More Races
P039H, P39H. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is Hispanic or Latino alone
P039I, P39I. FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Families with a householder who is White alone not Hispanic or Latino
PCT0010, PCT1. AMERICAN INDIAN AND ALASKA NATIVE ALONE WITH ONE TRIBE REPORTED FOR SELECTED TRIBES, Universe: People who are American Indian and Alaska Native alone—total tribes tallied for people with one tribe only and people with no tribe reported
